"STUB_1","STUB_2","1/5/18","12/29/17","1/6/17","1/8/16","1/5/18","1/6/17"
"Stocks (Million Barrels) ","East Coast (PADD 1)","0.034","0.020","0.047","0.030","– –","– –"
"Stocks (Million Barrels) ","Midwest (PADD 2)","0.138","0.102","0.096","0.129","– –","– –"
"Stocks (Million Barrels) ","Gulf Coast (PADD 3)","0.000","0.000","0.000","0.040","– –","– –"
"Stocks (Million Barrels) ","Rocky Mountain (PADD 4)","0.092","0.067","0.072","0.029","– –","– –"
"Stocks (Million Barrels) ","West Coast (PADD 5)","0.000","0.000","0.000","0.000","– –","– –"
"Stocks (Million Barrels) ","Ed55 and Lower","0.264","0.189","0.215","0.228","– –","– –"
"Stocks (Million Barrels) ","East Coast (PADD 1)","0.034","0.020","0.047","0.030","– –","– –"
"Stocks (Million Barrels) ","Midwest (PADD 2)","0.138","0.102","0.096","0.129","– –","– –"
"Stocks (Million Barrels) ","Gulf Coast (PADD 3)","0.000","0.000","0.000","0.040","– –","– –"
"Stocks (Million Barrels) ","Rocky Mountain (PADD 4)","0.092","0.067","0.072","0.029","– –","– –"
"Stocks (Million Barrels) ","West Coast (PADD 5)","0.000","0.000","0.000","0.000","– –","– –"
"Stocks (Million Barrels) ","Greater than Ed55","0.000","0.000","0.000","0.000","– –","– –"
"Stocks (Million Barrels) ","East Coast (PADD 1)","0.000","0.000","0.000","0.000","– –","– –"
"Stocks (Million Barrels) ","Midwest (PADD 2)","0.000","0.000","0.000","0.000","– –","– –"
"Stocks (Million Barrels) ","Gulf Coast (PADD 3)","0.000","0.000","0.000","0.000","– –","– –"
"Stocks (Million Barrels) ","Rocky Mountain (PADD 4)","0.000","0.000","0.000","0.000","– –","– –"
"Stocks (Million Barrels) ","West Coast (PADD 5)","0.000","0.000","0.000","0.000","– –","– –"
"Stocks (Million Barrels) ","Other","24.067","24.760","28.545","27.530","– –","– –"
"Stocks (Million Barrels) ","East Coast (PADD 1)","5.280","4.922","5.251","5.652","– –","– –"
"Stocks (Million Barrels) ","Midwest (PADD 2)","6.456","6.462","6.952","7.260","– –","– –"
"Stocks (Million Barrels) ","Gulf Coast (PADD 3)","8.364","9.677","11.808","10.487","– –","– –"
"Stocks (Million Barrels) ","Rocky Mountain (PADD 4)","1.778","1.665","2.162","2.272","– –","– –"
"Stocks (Million Barrels) ","West Coast (PADD 5)","2.189","2.035","2.372","1.860","– –","– –"
"Stocks (Million Barrels) ","Motor Gasoline Blending Components","212.948","208.201","211.671","212.640","– –","– –"
"Stocks (Million Barrels) ","East Coast (PADD 1)","56.105","53.247","61.969","57.200","– –","– –"
"Stocks (Million Barrels) ","Midwest (PADD 2)","46.375","44.228","44.947","50.163","– –","– –"
"Stocks (Million Barrels) ","Gulf Coast (PADD 3)","73.348","74.394","70.933","72.085","– –","– –"
"Stocks (Million Barrels) ","Rocky Mountain (PADD 4)","5.886","5.521","5.725","5.387","– –","– –"
"Stocks (Million Barrels) ","West Coast (PADD 5)","31.234","30.810","28.098","27.805","– –","– –"
"Stocks (Million Barrels) ","RBOB","54.104","51.841","52.968","52.754","– –","– –"
"Stocks (Million Barrels) ","East Coast (PADD 1)","19.047","18.135","20.184","20.159","– –","– –"
"Stocks (Million Barrels) ","Midwest (PADD 2)","6.480","5.968","6.360","7.190","– –","– –"
"Stocks (Million Barrels) ","Gulf Coast (PADD 3)","12.324","11.912","11.754","12.012","– –","– –"
"Stocks (Million Barrels) ","Rocky Mountain (PADD 4)","0.000","0.000","0.000","0.000","– –","– –"
"Stocks (Million Barrels) ","West Coast (PADD 5)","16.253","15.826","14.669","13.393","– –","– –"
"Stocks (Million Barrels) ","CBOB","102.837","100.749","101.419","102.700","– –","– –"
"Stocks (Million Barrels) ","East Coast (PADD 1)","25.355","23.450","27.718","25.425","– –","– –"
"Stocks (Million Barrels) ","Midwest (PADD 2)","33.512","32.432","31.037","34.306","– –","– –"
"Stocks (Million Barrels) ","Gulf Coast (PADD 3)","32.206","33.695","32.190","32.310","– –","– –"
"Stocks (Million Barrels) ","Rocky Mountain (PADD 4)","4.469","4.054","3.908","3.855","– –","– –"
"Stocks (Million Barrels) ","West Coast (PADD 5)","7.296","7.118","6.566","6.803","– –","– –"
"Stocks (Million Barrels) ","GTAB","0.390","0.456","1.394","0.292","– –","– –"
"Stocks (Million Barrels) ","East Coast (PADD 1)","0.390","0.456","1.394","0.292","– –","– –"
"Stocks (Million Barrels) ","Midwest (PADD 2)","0.000","0.000","0.000","0.000","– –","– –"
"Stocks (Million Barrels) ","Gulf Coast (PADD 3)","0.000","0.000","0.000","0.000","– –","– –"
"Stocks (Million Barrels) ","Rocky Mountain (PADD 4)","0.000","0.000","0.000","0.000","– –","– –"
"Stocks (Million Barrels) ","West Coast (PADD 5)","0.000","0.000","0.000","0.000","– –","– –"
"Stocks (Million Barrels) ","All Other Blending Components","55.617","55.155","55.890","56.894","– –","– –"
"Stocks (Million Barrels) ","East Coast (PADD 1)","11.313","11.207","12.673","11.325","– –","– –"
"Stocks (Million Barrels) ","Midwest (PADD 2)","6.384","5.828","7.549","8.667","– –","– –"
"Stocks (Million Barrels) ","Gulf Coast (PADD 3)","28.818","28.787","26.989","27.763","– –","– –"
"Stocks (Million Barrels) ","Rocky Mountain (PADD 4)","1.418","1.467","1.816","1.531","– –","– –"
"Stocks (Million Barrels) ","West Coast (PADD 5)","7.685","7.866","6.863","7.608","– –","– –"
"Stocks (Million Barrels) ","Fuel Ethanol","22.719","22.619","20.009","21.345","– –","– –"
"Stocks (Million Barrels) ","East Coast (PADD 1)","7.208","7.013","6.710","6.850","– –","– –"
"Stocks (Million Barrels) ","Midwest (PADD 2)","7.947","8.361","7.418","7.066","– –","– –"
"Stocks (Million Barrels) ","Gulf Coast (PADD 3)","4.652","4.329","3.149","4.607","– –","– –"
"Stocks (Million Barrels) ","Rocky Mountain (PADD 4)","0.316","0.326","0.355","0.353","– –","– –"
"Stocks (Million Barrels) ","West Coast (PADD 5)","2.596","2.590","2.377","2.469","– –","– –"
"Stocks (Million Barrels) ","Kerosene-Type Jet Fuel","41.353","40.649","42.922","40.724","– –","– –"
"Stocks (Million Barrels) ","East Coast (PADD 1)","10.539","10.046","10.640","10.490","– –","– –"
"Stocks (Million Barrels) ","Midwest (PADD 2)","6.691","6.747","6.843","6.523","– –","– –"
"Stocks (Million Barrels) ","Gulf Coast (PADD 3)","13.188","13.088","14.936","14.484","– –","– –"
"Stocks (Million Barrels) ","Rocky Mountain (PADD 4)","0.742","0.808","0.622","0.632","– –","– –"
"Stocks (Million Barrels) ","West Coast (PADD 5)","10.193","9.960","9.881","8.595","– –","– –"
"Stocks (Million Barrels) ","Distillate Fuel Oil","143.088","138.834","170.041","165.554","– –","– –"
"Stocks (Million Barrels) ","East Coast (PADD 1)","49.650","51.192","66.909","64.866","– –","– –"
